allele_name,pipeline_names,similar_names
IGHV4-5WKJ*55, IGHV4-5WKJ*55, 
IGHV4-5WKJ*56, IGHV4-5WKJ*56, 
IGHV4-5WKJ*57, IGHV4-5WKJ*57, 
IGHV4-5WKJ*58, IGHV4-5WKJ*58, 
IGHV4-5WKJ*59, IGHV4-5WKJ*59, 
IGHV4-5WKJ*60, IGHV4-5WKJ*60, 
IGHV4-5WKJ*61, IGHV4-5WKJ*61, 
IGHV4-5WKJ*62, IGHV4-5WKJ*62, 
IGHV4-5WKJ*63, IGHV4-5WKJ*63, 
IGHV4-5WKJ*64, IGHV4-5WKJ*64, 
IGHV4-5WKJ*65, IGHV4-5WKJ*65, 
IGHV4-64DR*06, IGHV4-64DR*06, 
IGHV4-64DR*07, IGHV4-64DR*07, 
IGHV4-64DR*12, IGHV4-64DR*12, 
IGHV4-64DR*13, IGHV4-64DR*13, 
IGHV4-64DR*17, IGHV4-64DR*17, 
IGHV4-64DR*18, IGHV4-64DR*18, 
IGHV4-64DR*19, IGHV4-64DR*19, 
IGHV4-64DR*20, IGHV4-64DR*20, 
IGHV4-64DR*21, IGHV4-64DR*21, 
IGHV4-64DR*24, IGHV4-64DR*24, 
IGHV4-6KBL*07, IGHV4-6KBL*07, 
IGHV4-6KBL*09, IGHV4-6KBL*09, 
IGHV4-7BJU*02, IGHV4-7BJU*02, 
IGHV4-7BJU*12, IGHV4-7BJU*12, 
IGHV4-7PFL*01, IGHV4-7PFL*01, 
IGHV4-7PM2*02, IGHV4-7PM2*02, 
IGHV4-7UKP*01, IGHV4-7UKP*01, 
IGHV4-7UKP*02, IGHV4-7UKP*02, 
IGHV4-7UKP*03, IGHV4-7UKP*03, 
IGHV4-7UKP*04, IGHV4-7UKP*04, 
IGHV4-7UKP*06, IGHV4-7UKP*06, 
IGHV4-7UKP*07, IGHV4-7UKP*07, 
IGHV4-7UKP*08, IGHV4-7UKP*08, 
IGHV4-7UKP*09, IGHV4-7UKP*09, 
IGHV4-7UKP*10, IGHV4-7UKP*10, 
IGHV4-7UKP*11, IGHV4-7UKP*11, 
IGHV4-7UKP*12, IGHV4-7UKP*12, 
IGHV4-7UKP*13, IGHV4-7UKP*13, 
IGHV4-7UKP*15, IGHV4-7UKP*15, 
IGHV4-AATP*01, IGHV4-AATP*01, 
IGHV4-AATP*03, IGHV4-AATP*03, 
IGHV4-AATP*05, IGHV4-AATP*05, 
IGHV4-AATP*07, IGHV4-AATP*07, 
